Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
Unbox Therapy this is from but i dont care Do you recomend getting this	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8hyneCi68sp	2018-06-26T22:26:16.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Unbox Therapy hey grest video	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8bzO_feu6yl	2018-01-29T00:49:20.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Magnus Tofte Kruse bro try to kys bot	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8aahd2Ar1CB	2017-12-25T14:12:09.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Unbox Therapy use camera on this one you just keep the on the back button but then click pass through	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8aXnQA6RRN6	2017-12-24T01:45:43.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Kunal kumawat	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8aRZBgxDGDV	2017-12-21T15:37:14.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
yes	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8a57PCof1Lf	2017-12-12T22:31:07.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
no me too	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8a3Eo6jPhMR	2017-12-12T04:57:20.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Now THAT S a BIG one	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8ZzW25FIdma	2017-11-15T12:20:20.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
PLEASE REPLY IF U HAVE READ THIS	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8YyM0_6U-ki	2017-10-21T05:02:07.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
I WANT THAT VR ALMOST YEARS but i have no enough money to buy that VR PLEASE MAN GIVE IT TO ME I DONT CARE IF IT SECOND HAND BUT I REALLY APPRECIATE IT IF YOU GIVE IT TO ME XD	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8YyLu-4Vsiq	2017-10-21T05:01:05.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
U ARE RICH GUYS MAN HEHE NICE WORK I ll always SUBSRIBE u	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8YyLiBE-4GE	2017-10-21T04:59:28.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
PLEASE GIVE THAT SAMSUNG GEAR VR TO ME XD PLEASE DUDE	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8YyL_lpF9Ec	2017-10-21T04:58:19.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Unbox Therapy try with apple phone	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8YQ9MknSsYw	2017-10-07T12:58:08.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
I have the Samsung vr with controller	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8XxZFzGSses	2017-09-26T01:07:11.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
I have the Samsung vr with controller	UghZ2ZP3bX-Yi3gCoAEC.8VXPc1MydyJ8XxZBekdwfy	2017-09-26T01:06:35.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Yeah	UgzRWCFyNHR34PXLIqB4AaABAg.8nI_CfC267G8nkxWrWSZqN	2018-11-17T16:31:30.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
It is If it s compatible with S it s compatible with S aswell So basically the two last models SM R and SM R	UgzRWCFyNHR34PXLIqB4AaABAg.8nI_CfC267G8nkwrkfyPy0	2018-11-17T16:25:45.000Z	Reply	jBcHv3h1pHs	It's Like Candy For Your Eyeballs...
Huawei mate pro will work on it	UgyWa2eyD8uqtkhppvV4AaABAg	2018-11-23T21:11:23.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Do you think it might be possible to use controllers at the same time	UgxtdAMxR0NHIT0XWet4AaABAg	2018-11-22T08:40:24.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
Can note use it	UgyGj-D6vyhYJHfAazh4AaABAg	2018-11-18T01:59:10.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
can the vr controller still work without the vr samsung but use on other vr brand	UgzQ94V5XR35RvRGhXx4AaABAg	2018-10-31T14:35:31.000Z	Comment	uyRqG7g5TmY	Samsung Gear VR with Controller Review
