Comment	CommentID	CreateTimeStamp	Type	videoID	videoTitle
Me as well Sucks we can t find the name of the soundtrack or maybe it s unreleased	Ugwxp1lJHuQP87Htvlh4AaABAg.8oFp56sARH-8oNRFBlH38_	2018-12-03T00:30:22.000Z	Reply	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
Shwalt I can t find it either	Ugwxp1lJHuQP87Htvlh4AaABAg.8oFp56sARH-8oHaOupKmBt	2018-11-30T18:03:38.000Z	Reply	FyLPJ5JWZYk	Patriots Unbelievable Comeback in Super Bowl LI to Beat the Falcons | NFL Turning Point
at least they didn t pass at the	Ugw5WloLXKWHVo4sbZ54AaABAg	2018-12-07T21:06:28.000Z	Comment	udimh5GEiJI	Superbowl 51 Second Half 2017
Joe Buck Toss to White He sssssss in Patriots win the Super Bowl Brady has his th What A Comeback	UgwkqUlLRCpEZl6AxrV4AaABAg	2018-12-04T01:28:38.000Z	Comment	udimh5GEiJI	Superbowl 51 Second Half 2017
THE GREATEST SUPER BOWL OF ALL TIME	UgyzofKh8RppfmJRM8N4AaABAg	2018-11-30T22:16:18.000Z	Comment	udimh5GEiJI	Superbowl 51 Second Half 2017
Tom Brady greatest of all time go patriots time Superbowl Champions	UgwBOAnYsB7OJpAQOON4AaABAg	2018-11-21T05:13:36.000Z	Comment	udimh5GEiJI	Superbowl 51 Second Half 2017
is every Pats fan watching Tom do anything	Ugz-1Nt3tzsjoKlm-AB4AaABAg	2018-11-21T00:20:27.000Z	Comment	udimh5GEiJI	Superbowl 51 Second Half 2017
I almost cried because I thought the guy intercepted it Then I realized Edelman actually caught and I was so happy	UgyxbkfHK46GkVj8hYh4AaABAg	2018-11-12T19:50:12.000Z	Comment	udimh5GEiJI	Superbowl 51 Second Half 2017
Awwww How cute Blount was there for Brady and then it all came in full circle when Belichick found them Warms the damn heart	UgzESZkBZ64LUwrIrKV4AaABAg	2018-11-11T00:28:33.000Z	Comment	udimh5GEiJI	Superbowl 51 Second Half 2017
I need the first half to fully enjoy the second half	UgyN43IxZ_BEMhwmDP94AaABAg	2018-11-10T17:04:45.000Z	Comment	udimh5GEiJI	Superbowl 51 Second Half 2017
